service_id,date,exception_type
FULLW, 20071006, 1
WE, 20071006, 1
FULLW, 20071007, 1
WE, 20071007, 1
FULLW, 20071008, 1
FULLW, 20071009, 1
FULLW, 20071010, 1
FULLW, 20071011, 1
FULLW, 20071012, 1
FULLW, 20071013, 1
WE, 20071013, 1
FULLW, 20071014, 1
WE, 20071014, 1
FULLW, 20071015, 1
FULLW, 20071016, 1
FULLW, 20071017, 1
FULLW, 20071018, 1
FULLW, 20071019, 1
FULLW, 20071020, 1
WE, 20071020, 1
FULLW, 20071021, 1
WE, 20071021, 1
FULLW, 20071022, 1
FULLW, 20071023, 1
FULLW, 20071024, 1
FULLW, 20071025, 1
FULLW, 20071026, 1
FULLW, 20071027, 1
WE, 20071027, 1
FULLW, 20071028, 1
WE, 20071028, 1
FULLW, 20071029, 1
FULLW, 20071030, 1
FULLW, 20071031, 1
FULLW, 20071101, 1
FULLW, 20071102, 1
FULLW, 20071103, 1
WE, 20071103, 1
FULLW, 20071104, 1
WE, 20071104, 1
FULLW, 20071105, 1
FULLW, 20071106, 1
FULLW, 20071107, 1
FULLW, 20071108, 1
FULLW, 20071109, 1
FULLW, 20071110, 1
WE, 20071110, 1
FULLW, 20071111, 1
WE, 20071111, 1
FULLW, 20071112, 1
FULLW, 20071113, 1
FULLW, 20071114, 1
FULLW, 20071115, 1
FULLW, 20071116, 1
FULLW, 20071117, 1
WE, 20071117, 1
FULLW, 20071118, 1
WE, 20071118, 1
FULLW, 20071119, 1
FULLW, 20071120, 1
FULLW, 20071121, 1
FULLW, 20071122, 1
FULLW, 20071123, 1
FULLW, 20071124, 1
WE, 20071124, 1
FULLW, 20071125, 1
WE, 20071125, 1
FULLW, 20071126, 1
FULLW, 20071127, 1
FULLW, 20071128, 1
FULLW, 20071129, 1
FULLW, 20071130, 1
FULLW, 20071201, 1
WE, 20071201, 1
FULLW, 20071202, 1
WE, 20071202, 1
FULLW, 20071203, 1
FULLW, 20071204, 1
FULLW, 20071205, 1
FULLW, 20071206, 1
FULLW, 20071207, 1
FULLW, 20071208, 1
WE, 20071208, 1
FULLW, 20071209, 1
WE, 20071209, 1
FULLW, 20071210, 1
FULLW, 20071211, 1
FULLW, 20071212, 1
FULLW, 20071213, 1
FULLW, 20071214, 1
FULLW, 20071215, 1
WE, 20071215, 1
FULLW, 20071216, 1
WE, 20071216, 1
FULLW, 20071217, 1
FULLW, 20071218, 1
FULLW, 20071219, 1
FULLW, 20071220, 1
FULLW, 20071221, 1
FULLW, 20071222, 1
WE, 20071222, 1
FULLW, 20071223, 1
WE, 20071223, 1
FULLW, 20071224, 1
FULLW, 20071225, 1
FULLW, 20071226, 1
FULLW, 20071227, 1
FULLW, 20071228, 1
FULLW, 20071229, 1
WE, 20071229, 1
FULLW, 20071230, 1
WE, 20071230, 1
FULLW, 20071231, 1
FULLW, 20080101, 1
FULLW, 20080102, 1
FULLW, 20080103, 1
FULLW, 20080104, 1
FULLW, 20080105, 1
WE, 20080105, 1
FULLW, 20080106, 1
WE, 20080106, 1
FULLW, 20080107, 1
FULLW, 20080108, 1
FULLW, 20080109, 1
FULLW, 20080110, 1
FULLW, 20080111, 1
FULLW, 20080112, 1
WE, 20080112, 1
FULLW, 20080113, 1
WE, 20080113, 1
FULLW, 20080114, 1
FULLW, 20080115, 1
FULLW, 20080116, 1
FULLW, 20080117, 1
FULLW, 20080118, 1
FULLW, 20080119, 1
WE, 20080119, 1
FULLW, 20080120, 1
WE, 20080120, 1
FULLW, 20080121, 1
FULLW, 20080122, 1
FULLW, 20080123, 1
FULLW, 20080124, 1
FULLW, 20080125, 1
FULLW, 20080126, 1
WE, 20080126, 1
FULLW, 20080127, 1
WE, 20080127, 1
FULLW, 20080128, 1
FULLW, 20080129, 1
FULLW, 20080130, 1
FULLW, 20080131, 1
FULLW, 20080201, 1
FULLW, 20080202, 1
WE, 20080202, 1
FULLW, 20080203, 1
WE, 20080203, 1
FULLW, 20080204, 1
